company_name,Ratings,Rieview,Salaries,Interviews,Jobs,Company_Type,Company_location,Company_years,Company_emp,Company_Details,Discription
HCLTech,3.8,22.1k,268.7k,2k,515,Public,"Noida,Uttar Pradesh + 148 more",32 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","<strong>HCLTech </strong>is a global technology company, home to 223,400+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.<br /><br />Our purpose is to bring together the best of technology and our people to supercharge progress. We&rsquo;re supercharging progress for everyone, everywhere &ndash; our clients, partners and their stakeholders, our people, communities, and the planet.<br /><br />Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.<br /><br />As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.<br /><br />We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.<br /><br />We&rsquo;re powered by our people &ndash; a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.<br /><br />Consolidated revenues as of 12 months ending June 2023 totaled $12.8 billion. To learn how we can supercharge progress for you, visit hcltech.com<br /><br /><strong>Why join us:</strong><br /><br />In 1976, there were only 250 computers in India. It was then that Shiv Nadar, the founder of HCL, led a team of eight young people who passionately believed in the power of information technology. From that vision, grew a global enterprise that redefined the Indian IT industry.<br /><br />Today, HCLTech (which spun off as a separate unit in 1991) is one of the leading IT service providers worldwide. But while we may be a globally recognized leader in the tech and IT industry, we&rsquo;ve never forgotten the start-up mindset that got us here.<br /><br />We&rsquo;ve always approached our work with an idea-first attitude because every one of our accomplishments&mdash;no matter how big or small&mdash;can be traced back to an idea&rsquo;s single spark.<br /><br />It&rsquo;s that spark&mdash;that inner drive&mdash;that sets our people apart from our competitors. It enables us not just to pull off game-changing feat after game-changing feat but to better our world in the process.<br /><br /><strong>At HCLTech, you&rsquo;ll supercharge your potential. &nbsp; </strong>&nbsp;<br />- You&rsquo;ll find your career.<br />- And you&rsquo;ll find your spark.<br />- All at a place that knows that helping its customers stay on top starts by putting its people first.<br /><br /><strong>We offer:</strong><br />&bull; &nbsp; &nbsp;career opportunities on your terms<br />&bull; &nbsp; &nbsp;enriching job experiences<br />&bull; &nbsp; &nbsp;an employment that you can trust in<br />&bull; &nbsp; &nbsp;a diverse, international culture that values your whole self<br /><br />We have been named as <strong>Global Top Employer for 2023</strong> and certified as a <strong>Top Employer in 25 countries</strong> across three regions by the Top Employers Institute for consistency in people practices across the globe.<br />We have been recognized as a top employer in Australia, Brazil, Bulgaria, Canada, Costa Rica, Finland, France, Germany, Guatemala, India, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Poland, Portugal, Romania, Singapore, South Africa, Sweden, United Kingdom and the United States. Of these 25 countries, we are ranked number one in 18 countries, including India.<br /><br />HCLTech has also received top honors in the key 3 geographies of its operations - <strong>Top Employer Europe 2023</strong>, <strong>Top Employer Asia Pacific 2023 </strong>and <strong>Top Employer North America 2023</strong>.&nbsp;<br /><br />These accolades demonstrate our commitment to fostering a work environment with an innovative and a progressive work culture.<br /><br />Find your spark with career opportunities at HCLTech. <br />Visit: www.hcltech.com/careers"
Axis Bank,3.9,19k,162.7k,918,230,Public,"Mumbai,Maharashtra + 1202 more",30 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses.

The Bank has a large footprint of 4,050 domestic branches (including extension counters) with 11,801 ATMs & 4,917 cash recyclers spread across the country as on 31st March, 2019. The overseas operations of the Bank are spread over nine international offices with branches at Singapore, Hong Kong, Dubai (at the DIFC), Colombo and Shanghai; representative offices at Dhaka, Dubai, Abu Dhabi and an overseas subsidiary at London, UK. The international offices focus on corporate lending, trade finance, syndication, investment banking and liability businesses."
Concentrix Corpo...,4.0,17.8k,107.2k,846,140,Public,"Fremont,California + 79 more",40 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations.It’s all about tapping into sentiment and building an emotional connection that keeps customers and staff fanatical about your brand. That’s where we come in—we create exceptional customer engagement, accelerate digital transformation, and deliver actionable CX insights."
IBM,4.1,17.6k,213.6k,1.3k,2.9k,Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","IBMers believe in progress—that the application of intelligence, reason and science can improve business, society and the human condition

IBM has developed a thoughtful, comprehensive approach to corporate citizenship that we believe aligns with IBM’s values and maximised the impact we can make as a global enterprise. We focus on specific societal issues, including the environment, community economic development, education and skills, public health, literacy, language and culture.

The mission of India CSR is to foster life-long learning opportunities across India through streamlined initiatives that cut pathways across education [access], skills/employability [inclusion], and employment [equity and quality].

IBM’s greatest asset is the IBMer. We believe our strength lies in the diversity of our employees. IBM encourages creative pursuits and passions outside of work, because when IBMers can explore their curiosity, it gives all of us a new outlook on the world and its possibilities for emerging tech. Together, IBM can drive progress through meaningful innovation and action.

The new generation of hybrid cloud enables you to build once, deploy anywhere and manage it all from a single pane of glass. So your business can adapt and transform like never before."
Reliance Jio,4.0,17.1k,96.3k,960,158,Public,"Navi Mumbai,Maharashtra + 1070 more",16 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","Jio is a young and dynamic organization with a mission to digitally transform India. We believe in making dreams a reality by bringing out creativity and innovation in our employees. We have a host of initiatives through which we care for our employees throughout their life at Jio. 

Given ahead are our philosophies behind building a working environment that supports our employees in achieving the impossible every day."
Amazon,4.2,17k,135.5k,2.8k,677,Public,"Seattle,Washington + 386 more",29 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. 

We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company and the spirit and heart of a small one. 

Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world. 

Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer's top of mind. 

You'll also hear us say that at Amazon, it's always ""Day 1.""​ What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers."
Larsen & Toubro ...,4.0,16.2k,96.9k,870,264,Public,"Mumbai,Maharashtra + 563 more",85 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. A strong, customer-focused approach and the constant quest for top-class quality have enabled L&T to attain and sustain leadership in its major lines of business for over eight decades.

We are engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to delivery’.

Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth.

The Company’s manufacturing footprint extends across eight countries in addition to India. L&T has several international offices and a supply chain that extends around the globe."
HDB Financial Se...,4.0,15.3k,79.4k,483,38,Private,"Ahmedabad,Gujrat + 873 more",16 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual &amp; Business Clients. Incorporated in 2007, we are a well-established business with strong capitalization. HDBFS is accredited with CARE AAA &amp; CRISIL AAA ratings for its long-term debt &amp; Bank facilities and an A1+ rating for its short-term debt &amp; commercial papers, making it a strong and reliable financial institution. HDBFS maintains a strong commitment to ethical conduct. Transparency is ingrained in the structure of our Code of Ethics and our compliance policies to ensure that the highest standards of professional conduct are consistently reinforced and embedded in every corner of the organisation."
Reliance Retail,4.0,14.6k,78.2k,954,242,Private,"Navi Mumbai,Maharashtra + 854 more",17 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Reliance Retail is India's largest, fastest-growing, and most profitable retailer with a diversified Omni-channel presence via integrated store concepts, and digital and new commerce platforms. We provide consumers with an outstanding value proposition, superior quality products, and an unmatched shopping experience. Founded in 2006 with a view to revolutionizing retail in India, we have, over the years, developed and perfected our capabilities across people, processes, and technology to meet our end objectives of creating a win-win proposition for our stakeholders across the value chain viz. Customers, Manufacturers/Farmers, Merchants, and Brand Partners as well as enhancing financial income and job security for tens of millions of Indians. Today, Reliance Retail serves a loyal customer base of more than 193 million across the country, catering to daily and occasional needs across the major consumption baskets of Consumer Electronics, Fashion &amp; Lifestyle, Grocery, Pharma, and Connectivity. We operate the largest store network in the country with 15,000+ stores, spread over 42 million square feet of retail space, and present across 7,000+ cities. Our Omni-enabled store networks and extensive portfolio of digital commerce platforms bolstered by a strong supply chain and technology infrastructure, and supported by a well-trained workforce enable us to provide customer service par excellence. We continue to build our capabilities through organic growth, acquisitions, partnerships, and strategic investments to strengthen our competencies and bolster our product offerings. Our strong own brand portfolio is complemented by an equally strong brand partner portfolio, as Reliance Retail continues to be the partner of choice for leading national and international brands. Reliance Retail&rsquo;s New Commerce initiative designed to boost the digital ecosystem for millions of partner merchants and MSMEs has enabled lakhs of small merchants to connect with a huge consumer base and embodies our commitment to bettering lives and creating value for the entire ecosystem."
Teleperformance,3.6,14.2k,86.3k,938,212,Private,Paris + 130 more,45 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Teleperformance is a global digital business services company. &nbsp;​<br /><br />With more than 410,000 inspired and passionate people speaking more than 300 languages, our global scale and local presence allow us to be a force of good in supporting our communities, our clients, and the environment.&nbsp;<br /><br />At Teleperformance, we deliver the most advanced, digitally powered business services to help the world&rsquo;s best brands streamline their business in meaningful and sustainable ways."
Vodafone Idea,4.2,14k,85.3k,377,407,Public,"Gandhinagar,Gujrat + 592 more",5 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India’s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and 4G platform. With the large spectrum portfolio to support the growing demand for data and voice, the company is committed to deliver delightful customer experiences and contribute towards creating a truly ‘Digital India’ by enabling millions of citizens to connect and build a better tomorrow. The Company is developing infrastructure to introduce newer and smarter technologies, making both retail and enterprise customers future ready with innovative offerings, conveniently accessible through an ecosystem of digital channels as well as extensive on-ground presence. The Company is listed on National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India."
Deloitte,4.0,12k,148.2k,1.4k,276,Private,"London,United Kingdom + 139 more",178 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","Deloitte is a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services.<br /><br />With more than 175 years of hard work and commitment to making a real difference, our organization has grown in scale and diversity&mdash;approximately 415,000 people in 150 countries and territories, providing these services&mdash;yet our shared culture remains the same. <br /><br />Our organization serves four out of five Fortune Global 500&reg; companies."
Kotak Mahindra B...,3.8,11.9k,102.5k,600,103,Public,"Mumbai,Maharashtra + 502 more",20 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","In February 2003, Kotak Mahindra Finance Ltd. (KMFL), the Group's flagship company, received banking license from the Reserve Bank of India (RBI), becoming the first non-banking finance company in India to convert into a bank - Kotak Mahindra Bank Ltd.
Effective April 1, 2015, ING Vysya Bank Ltd. merged with Kotak Mahindra Bank Ltd. 
The Bank has four Strategic Business Units – Consumer Banking, Corporate Banking, Commercial Banking and Treasury, which cater to retail and corporate customers across urban and rural India.

The Group offers a wide range of financial services that encompass every sphere of life. From commercial banking, to stock broking, mutual funds, life insurance and investment banking, the Group caters to the diverse financial needs of individuals and the corporate sector. The Group has a wide distribution network through branches and franchisees across India, and international offices in London, New York, California, Dubai, Abu Dhabi, Bahrain, Mauritius and Singapore."
BYJU'S,3.2,11.7k,65.9k,1.6k,921,Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India),"Food Processing,Public,Bhopal","BYJU'S is the world's most valuable ed-tech company and the creator of India's most loved school learning app. Launched in 2015, BYJU'S offers highly personalised and effective learning programs for classes 1 - 12 (K-12), and aspirants of competitive exams like JEE, IAS etc. With 50 million registered students and 3.5 million paid subscriptions, BYJU'S has become one of the most preferred education platforms across the globe."
Reliance Industr...,4.0,11.2k,75.5k,761,61,Public,"Navi Mumbai,Maharashtra + 563 more",46 years old,,"Food Processing,Public,Bhopal","Reliance Industries Limited (RIL) is a Fortune 500 company and the largest private sector corporation in India. In just over four decades, we have emerged as one of India&rsquo;s most valuable, stakeholder-centric organizations, building important assets for India and innovating for a better future for all Indians. We are one of the highest contributors to India's economic growth.&nbsp;<br /><br />The one unifying thread that runs through everything we have ever done at Reliance is the spirit of Care and Empathy."
Bharti Airtel,4.0,10.5k,59.6k,467,235,Public,"Gurgaon/Gurugram,Haryana + 582 more",28 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Bharti Airtel Limited is a leading global telecommunications company with operations in 18 countries across Asia and Africa. Headquartered in New Delhi, India, the company ranks amongst the top 3 mobile service providers globally in terms of subscribers. 

In India, the company's product offerings include 2G, 3G and 4G wireless services, mobile commerce, fixed line services, high-speed home broadband, DTH, and enterprise services including national & international long-distance services to carriers. In the rest of the geographies, it offers 2G, 3G, and 4G wireless services and mobile commerce. 

Bharti Airtel had over 403 million customers across its operations at the end of March 2019."
Tata Motors,4.2,9.8k,48.7k,612,19,Public,"Pune,Maharashtra + 404 more",78 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","Tata Motors Group (Tata Motors) is a $34 billion organization. It is a leading global automobile manufacturing company. Its diverse portfolio includes an extensive range of cars, sports utility vehicles, trucks, buses, and defence vehicles. 

Tata Motors is one of India's largest OEMs offering an extensive range of integrated, smart, and e-mobility solutions. Part of the USD110 billion Tata group founded by Jamsetji Tata in 1868, Tata Motors is among the world’s leading manufacturers of automobiles. 

We believe in ‘Connecting aspirations’, by offering innovative mobility solutions that are in line with customers' aspirations. We are India's largest automobile manufacturer, and we continue to take the lead in shaping the Indian commercial vehicle landscape, with the introduction of leading-edge powertrains and electric solutions packaged for power performances and user comfort at the lowest life-cycle costs. 

Our new passenger cars and utility vehicles are based on Impact Design and offer a superior blend of performance, driveability, and connectivity.

Our focus on connecting aspirations and our pipeline of tech-enabled products keeps us at the forefront of the market. We have identified six key mobility drivers that will lead us into the future – modular architecture, complexity reduction in manufacturing, connected & autonomous vehicles, clean drivelines, shared mobility, and low total cost of ownership. 

Our sub-brand TAMO is an incubating centre of innovation that will spark new mobility solutions through new technologies, business models, and partnerships."
Flipkart,4.1,8.4k,54.4k,875,444,Public,"Bangalore,Karnataka + 486 more",16 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","The Flipkart Group is one of India&rsquo;s leading digital commerce entities and includes group companies Flipkart, Myntra, and Jabong. Launched in 2007, Flipkart has enabled millions of consumers, sellers, merchants and small businesses to be a part of India&rsquo;s e-commerce revolution. With a registered customer base of over 100 million, offering over 80 million products across 80+ categories, Flipkart is known for pioneering services such as Cash on Delivery, No Cost EMI and easy returns &ndash; customer-centric innovations that have made online shopping more accessible and affordable for millions of Indians. Together with Myntra and Jabong, which hold prominent positions in the online fashion market, the Flipkart Group has steered the transformation of commerce in India through technology."
Ernst & Young,3.7,8.2k,116.3k,751,1.7k,Private,London + 81 more,21 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","At EY, our purpose is Building a better working world. The insights and quality services we provide help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. In a world that&rsquo;s changing faster than ever, our purpose acts as our &lsquo;North Star&rsquo; guiding our more than 280,000 people &mdash; providing the context and meaning for the work we do every day. We help digital pioneers fight data piracy; guide governments through cash-flow crises; unlock new medical treatments with data analytics; and pursue high quality audits to build trust in financial markets and business. In other words, working with entrepreneurs, companies, and entire countries to solve their most pressing challenges."
WNS,3.6,8.1k,59k,603,246,Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","WNS Limited is a leading Business Process Management (BPM) company. WNS combines deep industry knowledge with technology, analytics, and process expertise to co-create innovative, digitally-led transformational solutions with over 375 clients across various industries. WNS delivers an entire spectrum of BPM solutions including industry-specific offerings, customer experience services, finance and accounting, human resources, procurement, and research and analytics to re-imagine the digital future of businesses. As of December 31, 2021, WNS had 49,610 professionals across 55 delivery centers worldwide including facilities in China, Costa Rica, India, the Philippines, Poland, Romania, South Africa, Spain, Sri Lanka, Turkey, the United Kingdom, and the United States."
IndusInd Bank,3.7,7.8k,66.2k,351,235,Public,"Gurgaon/Gurugram,Haryana + 620 more",29 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","IndusInd Bank is a Mumbai based scheduled private bank founded in Mumbai in April 1994. This bank offers a wide range of banking as well as financial products and services to the customers and is headquartered in Mumbai, Maharashtra. The bank has over 745 branches with a total network of over 1635 operating ATMs. It has two representative offices outside India in London and Dubai respectively.
IndusInd Bank stands tall today as one of the reputed banking brands in the country. The bank has been continuously investing in various advertising & marketing programs to enhance the brand image & recall. In an endeavor to emerge as best-in-class brand, IndusInd Bank has made 'Responsive Innovation' as a central theme of its brand building program. The Bank has combined responsiveness with innovation to launch a wide range of banking products and services which are unique, convenient and very relevant to Indian consumer."
Mahindra & Mahin...,4.2,7.6k,43.1k,400,88,Public,"Mumbai,Maharashtra + 432 more",78 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","A federation of companies, bound by one purpose &ndash; to Rise. Inspired by this spirit, our legacy, and values, our goal to always positively impact our partners, stakeholders, communities, and the world at large, remains unshakeable. What began as a steel-trading venture seven decades ago, steadily turned into a global brand, spanning nations and industries. This is a story with an upward curve, narrating how an Indian company paved its way to become a global powerhouse. We have come a long way since 1945 and as we accelerate into the 21st century, we aim at achieving even more."
DXC Technology,3.9,7.1k,82.2k,449,150,Public,"Minato,Tokyo + 57 more",6 years old,10k-50k Employees (India),"Food Processing,Public,Bhopal","We deliver the mission critical IT services that move the world.

DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC.

What we do
We deliver the IT services our customers need to modernize operations and drive innovation across their entire IT estate.

We provide services across the Enterprise Technology Stack for business process outsourcing, analytics and engineering, applications, security, cloud, IT outsourcing and modern workplace.

How we work
Every day, we earn our customers’ trust by delivering transformative technologies to ensure the success, safety and well-being of businesses and people worldwide.

We provide world-class IT services at scale from our Global Innovation and Delivery Centers in North America, South America, Europe, Asia and Australia. Our globally connected centers enable us to solve complex technology challenges and transform our customers’ businesses through our dedicated delivery workforce of more than 110,000 people. With globally distributed teams and rich engineering skills, DXC offers competitive solutions to address customers’ cost, regulatory, language and business continuity requirements.

We leverage the power of partnerships through our curated DXC ecosystem of technology leaders. By combining strengths and expertise globally, we create solutions and deliver greater outcomes for customers across the Enterprise Technology Stack.

Our values
Our values are the fabric of DXC. They bind us together regardless of where or how we work and position us to succeed on our transformation journey.

Join our team
We inspire and take care of our people. We work to create a culture of learning, diversity and inclusion and are dedicated to strong ethics and corporate citizenship. In each of the three regions where we work — Americas; Europe, Middle East and Africa; and Asia Pacific — we’re singularly focused on delivering excellence for our customers.

DXC is where brilliant people embrace change and seize opportunities to advance their careers and amplify customer success."
